smiles,homolumogap
CCCN(c1nnc(c(c1CN)C)C)C1CC1,4.672194813085
COc1ccc(cn1)/C=C(\C(C)(C)C)/C(=O)O,4.846347677405
CCCC[C@@H](c1ccccc1)N[C@H](C(=O)O)C,6.239570591965
C[C@@H]1CC[C@H]([C@H](C1)NC1CC1)C(C)C,7.523947966325
NC[C@@H]1CCC[C@@H]1/C(=N\C1(CC1)C(=O)O)/O,6.334810439640001
Oc1ccc(c(c1)Oc1ccccc1Cl)O,5.3062200847500005
CSCCNCCCc1ccccc1,5.98106243399
CC[C@](C1CCCC1)(CC1CC1)CC1CCC1,9.08316032969
OC[C@H]1O[C@]([C@@H]([C@H]1O)C)(C)CC,8.22872283912
C[C@@H]1NC[C@H](C1)Sc1ccccc1,5.363363993355
C1C[C@@H]2CCC[C@H](C1)B2CCCc1ccccc1,6.021879511565
O=c1ncccc2c1[nH]cc2,4.17966874368
CSc1ncccc1C(=O)NC(C)(C)C,5.042269649765
CCCCCCCCCN1C(=C)C=CC1=O,4.41912893212
SCCOCCCOCCS,7.077681251505
COc1cccc(c1)N[C@@H]1CCCCC[C@@H]1O,5.54023799618
[CH][C@@H]1C=CC(=C1)C,4.813694015345001
FC(c1ccc2c(c1)cco2)(F)F,5.491257503090001
O=Cc1cc(ccc1OC)c1ccccc1C#N,4.560628134380001
Fc1cccc(c1)CN1CCNC(C1)(C)C,5.65452581339
OCCN(Cc1cncn1C)CC,6.459982810870001
CC[C@H](CNc1ccc(cc1N(=O)=O)C)C,3.5619703030450003
NC[C@H]([C@H](c1ccc(c(c1)OC)OC)N)O,5.766092492095
CC(=O)/C(=C/OCC)/CCC(=O)O,5.243633899135
OP(Oc1c(C)cccc1C)O,6.3021567775800005
O/C(=N/[C@@H]1CC1(C)C)/CCCC(=O)O,5.20281682156
CCN1[N]C=N[C]1C1(N)CCCC1,6.881759279145
CNCc1nnc(o1)C1CCC1,6.141609605785001
N[C@H](C(=O)OCl)CO,4.13068825059
Fc1ncc(c(c1)Br)C,5.94840877193
C=CC[C]1[N]CCN1[C@H](N)C,5.95385104894
CN[C@](C(=O)O)(CCn1nc(cc1C)C)C,6.5470592430300005
CCCCCOC(=O)c1cncc(c1)N,4.6640313975700005
N[C@@H](c1ncccc1N(=O)=O)C1CC1,4.634098874015
ClCCCCCN(c1ccccc1C)C,5.722554276015
CCOc1ccc(c(n1)N(=O)=O)N,3.643604458195
C[C@@H]1CCCN([C@@H]1C)C(=O)[C@H]1CCCCN1,6.685837306784999
CCCCO[C@@H](c1cccc(c1)C)[C@@H](CC)N,6.168820990835
CCOCCC(=O)[C@@H]1CCCC1=O,5.608266458805
CCC[C@H]([C@H]([C@H](CC)C)C(C)C)CC,9.624666892185
NC/C=C(\COc1ccc(cc1)CC#N)/F,5.820515262195
C[C@H]1CCCC[C@H]1CNc1n(C)nc(c1N)C,5.815072985185
Nc1cc(cc(c1C)N)c1ccccc1,4.693963921125
OC[C@@H]1[C@@H](Oc2c1cccc2)c1ccccc1,5.382411962890001
C(CCNC1CC1)CCCOc1ccccc1,5.951129910435
CCOC(=O)N1CCC(CC1)N[C@H](C1CC1)C,7.466804057720001
CCC[C@@H]1CC[C@H](CC1)/N=C(\C=C)/O,5.510305472625
CC(COC(=O)CNc1ccc(cc1)C)C,5.06675989631
CCc1cc(O)nc(n1)C(C)(C)C,6.05181203512
c1ccc(cc1)CN[C@@H]1C[C@H]2[C@@H](C1)CCNC2,5.50214205711
C(=N\[C@H]1C[C@H]2C[C@@H]1CC2)/N[C@H]1C[C@H]2C[C@@H]1CC2,6.6341356751900005
CC/N=C(\CN(Cc1ccccc1CN)C)/O,5.19193226754
CCC[C@@H]1C[C@@H](C)CC(=N)N1O,6.125282774755
COC[C@H]1OC=CC(=O)[C@@H]1OC,4.9307029710600006
OCCOCCOCCOCCOC=C,7.230065007785001
COC(=O)[C@H](NCc1ccccc1N(=O)=O)C,4.09259231152
NCc1ccoc1CN1CCn2c(C1)nnc2,6.03004292708
O=Cc1ccc(cc1C)SC1CCCCC1,4.2885142838800006
CCn1cnnc1SCc1ncc(o1)C,5.474930672059999
CCN([C@H](/C=C/C(=O)O)C)C(=O)C,5.57289165824
CN(CCOc1ncc(cc1C(=O)N)N)C,4.52797447232
O=Cn1c(cc2c1cccc2)n1cncc1,4.884443616475
CN1CCC(=CC1)c1nc2c(o1)cccc2,4.4545037326850005
CC([C@@H]([C@@H]1CCC=CC1)O)C,7.268160946855
CC1(C)Cc2nnsc2C(C1)(C)C,5.529353442160001
COCC1CCN(CC1)c1ccccc1C#N,4.60416635046
NC[C@@H]([C@@H](C(C)(C)C)O)c1ccc(cc1)C,6.11711935924
C1=CC[C@@H](CC1)c1ncc[nH]1,6.0708600046550005
c1ccc(cc1)c1ccc(cc1)c1nocc1,4.7293387216900005
